site_name_norm,imps,clicks,actions,spend,ctr,atr,cpc,cpa,vendor_impression_count,vendor_viewability_score
saveur.com,80,0,1,0.178,0.0000000000,0.0125000000,0,0.178,87,14.94
wowpedia.org,80,0,0,1.030,0.0000000000,0.0000000000,0,0,66,1.52
gsn.com,80,0,0,0.314,0.0000000000,0.0000000000,0,0,58,34.48
gw2.mmorpg-life.com,80,0,0,0.275,0.0000000000,0.0000000000,0,0,73,32.88
homes.lee.net,8,1,0,0.017,0.1250000000,0.0000000000,0.017,0,4,25.0
gw2db.com,8,0,1,0.095,0.0000000000,0.1250000000,0,0.095,7,42.86
whas11.com,8,0,1,0.078,0.0000000000,0.1250000000,0,0.078,8,37.5
longisland.blockshopper.com,8,0,1,0.058,0.0000000000,0.1250000000,0,0.058,8,100.0
ana-white.com,8,0,1,0.052,0.0000000000,0.1250000000,0,0.052,9,11.11
meganscookin.com,8,0,1,0.040,0.0000000000,0.1250000000,0,0.040,8,50.0
ads.esea.net,8,0,1,0.037,0.0000000000,0.1250000000,0,0.037,9,33.33
twinkietown.com,8,0,1,0.035,0.0000000000,0.1250000000,0,0.035,7,14.29
atlantica.nexon.net,8,0,1,0.027,0.0000000000,0.1250000000,0,0.027,10,20.0
specktra.net,8,0,1,0.023,0.0000000000,0.1250000000,0,0.023,9,44.44
losthatsportsblog.com,8,0,1,0.022,0.0000000000,0.1250000000,0,0.022,8,25.0
ps3trophies.org,8,0,1,0.020,0.0000000000,0.1250000000,0,0.020,6,33.33
withumor.com,8,0,1,0.019,0.0000000000,0.1250000000,0,0.019,4,25.0
new30394.undertonebrandsafe.com,8,0,1,0.017,0.0000000000,0.1250000000,0,0.017,6,33.33
chuckleaduck.com,8,0,1,0.013,0.0000000000,0.1250000000,0,0.013,8,25.0
30542.29297.pubmatic,8,0,1,0.010,0.0000000000,0.1250000000,0,0.010,7,14.29
sharenator.com,8,0,0,0.098,0.0000000000,0.0000000000,0,0,4,50.0
prudentbaby.com,8,0,0,0.078,0.0000000000,0.0000000000,0,0,9,22.22
ridethepine.com,8,0,0,0.074,0.0000000000,0.0000000000,0,0,6,16.67
tdn.com,8,0,0,0.073,0.0000000000,0.0000000000,0,0,7,28.57
162826-69715-bizo.com,8,0,0,0.070,0.0000000000,0.0000000000,0,0,6,33.33
lowellsun.com,8,0,0,0.067,0.0000000000,0.0000000000,0,0,7,42.86
techconsumer.com,8,0,0,0.067,0.0000000000,0.0000000000,0,0,5,20.0
events.chicago.cbslocal.com,8,0,0,0.065,0.0000000000,0.0000000000,0,0,7,42.86
kotatv.com,8,0,0,0.063,0.0000000000,0.0000000000,0,0,8,37.5
thepilotnews.com,8,0,0,0.063,0.0000000000,0.0000000000,0,0,7,42.86
todaynews.today.com,8,0,0,0.061,0.0000000000,0.0000000000,0,0,11,63.64
profootballzone.com,8,0,0,0.061,0.0000000000,0.0000000000,0,0,7,28.57
allday.today.com,8,0,0,0.060,0.0000000000,0.0000000000,0,0,8,50.0
almosthollywood.com,8,0,0,0.058,0.0000000000,0.0000000000,0,0,8,75.0
videos.gamerant.com,8,0,0,0.058,0.0000000000,0.0000000000,0,0,27,7.41
nbc11news.com,8,0,0,0.057,0.0000000000,0.0000000000,0,0,8,12.5
ponyfans.com,8,0,0,0.055,0.0000000000,0.0000000000,0,0,7,42.86
statefansnationforums.com,8,0,0,0.055,0.0000000000,0.0000000000,0,0,4,75.0
stadiumsofprofootball.com,8,0,0,0.055,0.0000000000,0.0000000000,0,0,7,28.57
rangersblog.dallasnews.com,8,0,0,0.055,0.0000000000,0.0000000000,0,0,8,12.5
fantasysportscentral.com,8,0,0,0.055,0.0000000000,0.0000000000,0,0,8,50.0
gameanyone.com,8,0,0,0.054,0.0000000000,0.0000000000,0,0,11,27.27
teamuscellular.com,8,0,0,0.054,0.0000000000,0.0000000000,0,0,5,40.0
wvillustrated.com,8,0,0,0.053,0.0000000000,0.0000000000,0,0,11,36.36
windowsnetworking.com,8,0,0,0.052,0.0000000000,0.0000000000,0,0,8,50.0
tmnews.com,8,0,0,0.051,0.0000000000,0.0000000000,0,0,8,12.5
directory.pnwmarketplace.com,8,0,0,0.051,0.0000000000,0.0000000000,0,0,3,33.33
photos.denverpost.com,8,0,0,0.049,0.0000000000,0.0000000000,0,0,4,75.0
thehdroom.com,8,0,0,0.047,0.0000000000,0.0000000000,0,0,6,16.67
usforacle.com,8,0,0,0.045,0.0000000000,0.0000000000,0,0,7,14.29
admin2.fasthockey.com,8,0,0,0.045,0.0000000000,0.0000000000,0,0,8,25.0
doorcountyadvocate.com,8,0,0,0.045,0.0000000000,0.0000000000,0,0,6,33.33
datacenter.courier-journal.com,8,0,0,0.045,0.0000000000,0.0000000000,0,0,7,71.43
melskitchencafe.com,8,0,0,0.044,0.0000000000,0.0000000000,0,0,8,37.5
catscratchreader.com,8,0,0,0.044,0.0000000000,0.0000000000,0,0,6,16.67
whitepage.com,8,0,0,0.043,0.0000000000,0.0000000000,0,0,4,100.0
sportspyder.com,8,0,0,0.043,0.0000000000,0.0000000000,0,0,7,14.29
brawlinthefamily.keenspot.com,8,0,0,0.042,0.0000000000,0.0000000000,0,0,7,14.29
xaxor.com,8,0,0,0.042,0.0000000000,0.0000000000,0,0,6,16.67
goodlifereview.com,8,0,0,0.041,0.0000000000,0.0000000000,0,0,5,20.0
rockmnation.com,8,0,0,0.041,0.0000000000,0.0000000000,0,0,7,57.14
wflx.com,8,0,0,0.041,0.0000000000,0.0000000000,0,0,5,20.0
dieseltruckresource.com,8,0,0,0.041,0.0000000000,0.0000000000,0,0,6,66.67
makeupalley.com,8,0,0,0.040,0.0000000000,0.0000000000,0,0,7,14.29
5thround.com,8,0,0,0.040,0.0000000000,0.0000000000,0,0,6,33.33
rivalangels.com,8,0,0,0.039,0.0000000000,0.0000000000,0,0,8,25.0
theindyalist.cityvoter.com,8,0,0,0.038,0.0000000000,0.0000000000,0,0,8,75.0
databases.sj-r.com,8,0,0,0.037,0.0000000000,0.0000000000,0,0,15,26.67
zestycook.com,8,0,0,0.037,0.0000000000,0.0000000000,0,0,6,33.33
search.nypost.com,8,0,0,0.037,0.0000000000,0.0000000000,0,0,6,100.0
angelfire.com,8,0,0,0.037,0.0000000000,0.0000000000,0,0,4,75.0
theipadguide.com,8,0,0,0.037,0.0000000000,0.0000000000,0,0,4,50.0
dearborn.goalline.ca,8,0,0,0.037,0.0000000000,0.0000000000,0,0,6,16.67
11275.rubicon,8,0,0,0.036,0.0000000000,0.0000000000,0,0,22,4.55
newsinfo.inquirer.net,8,0,0,0.036,0.0000000000,0.0000000000,0,0,1,100.0
performancetrucks.net,8,0,0,0.036,0.0000000000,0.0000000000,0,0,5,20.0
civicforums.com,8,0,0,0.035,0.0000000000,0.0000000000,0,0,8,62.5
lasvegasweekly.com,8,0,0,0.035,0.0000000000,0.0000000000,0,0,5,40.0
coloradosprings.com,8,0,0,0.035,0.0000000000,0.0000000000,0,0,8,62.5
themustangsource.com,8,0,0,0.034,0.0000000000,0.0000000000,0,0,8,50.0
photos.cleveland.com,8,0,0,0.034,0.0000000000,0.0000000000,0,0,5,20.0
365daysofcrockpot.com,8,0,0,0.034,0.0000000000,0.0000000000,0,0,6,16.67
searchitapp.com,8,0,0,0.033,0.0000000000,0.0000000000,0,0,8,62.5
java-forums.org,8,0,0,0.033,0.0000000000,0.0000000000,0,0,6,66.67
menuism.com,8,0,0,0.032,0.0000000000,0.0000000000,0,0,5,20.0
extrapetite.com,8,0,0,0.032,0.0000000000,0.0000000000,0,0,7,28.57
thefreedictionary.com,8,0,0,0.031,0.0000000000,0.0000000000,0,0,7,42.86
worddictionary.com.au,8,0,0,0.031,0.0000000000,0.0000000000,0,0,6,33.33
goodhousekeeping.com,8,0,0,0.031,0.0000000000,0.0000000000,0,0,5,20.0
duncanbanner.com,8,0,0,0.031,0.0000000000,0.0000000000,0,0,8,12.5
coupondad.net,8,0,0,0.030,0.0000000000,0.0000000000,0,0,8,12.5
iblogzone.com,8,0,0,0.030,0.0000000000,0.0000000000,0,0,6,33.33
sheldoncomics.com,8,0,0,0.030,0.0000000000,0.0000000000,0,0,10,10.0
us.mg4.mail.yahoo.com,8,0,0,0.030,0.0000000000,0.0000000000,0,0,3,33.33
theeccentriccook.blogspot.com,8,0,0,0.030,0.0000000000,0.0000000000,0,0,7,28.57
landroversonly.com,8,0,0,0.030,0.0000000000,0.0000000000,0,0,8,37.5
veloster.org,8,0,0,0.030,0.0000000000,0.0000000000,0,0,7,14.29
dallas.sbnation.com,8,0,0,0.030,0.0000000000,0.0000000000,0,0,6,33.33
themacweekly.com,8,0,0,0.030,0.0000000000,0.0000000000,0,0,5,80.0
3amazing.com,8,0,0,0.029,0.0000000000,0.0000000000,0,0,1,100.0
epbot.com,8,0,0,0.029,0.0000000000,0.0000000000,0,0,7,14.29
kwgn.com,8,0,0,0.028,0.0000000000,0.0000000000,0,0,7,42.86
myrtlebeachonline.com,8,0,0,0.027,0.0000000000,0.0000000000,0,0,3,33.33
peoplestylewatch.com,8,0,0,0.027,0.0000000000,0.0000000000,0,0,7,57.14
windowsbbs.com,8,0,0,0.027,0.0000000000,0.0000000000,0,0,7,14.29
sandesh.com,8,0,0,0.027,0.0000000000,0.0000000000,0,0,10,40.0
forbes.com,8,0,0,0.026,0.0000000000,0.0000000000,0,0,2,50.0
apnews1.iwon.com,8,0,0,0.026,0.0000000000,0.0000000000,0,0,8,25.0
ad.resultsaccelerator.net,8,0,0,0.025,0.0000000000,0.0000000000,0,0,6,16.67
xfactornetwork.com,8,0,0,0.025,0.0000000000,0.0000000000,0,0,8,25.0
jokeroo.com,8,0,0,0.025,0.0000000000,0.0000000000,0,0,5,20.0
